10001;41972;Cerrado;5500,4
10002;17012;Recibido;1113,7
10003;40395;En Tránsito;4730,1
10004;18284;En Tránsito;6005,9
10005;14340;Cerrado;5600,8
10006;48407;Recibido;1190,5
10007;41972;Cerrado;1200,2
10008;16751;En Tránsito;9300,4
10009;25948;Recibido;1500,1
10010;34108;Cerrado;9800,2
10011;20384;En Tránsito;4700,3
10012;17012;En Tránsito;6300,3
10013;10453;En Tránsito;4900,3
10014;40395;Cerrado;1600,2
10015;14340;Recibido;2600,5
10016;48407;Recibido;9400,5
10017;17012;En Tránsito;6900,5
10018;20384;Cerrado;1500,5
10019;10453;En Tránsito;6000,6
10020;16751;Cerrado;5000,5
10021;41972;Recibido;883,3
10022;34108;Recibido;1004,3
10023;14330;Recibido;13249,5
10024;41972;Recibido;786,5
10025;41972;Recibido;834,9
10026;41972;Recibido;786,5
10027;41972;Recibido;695,75
10028;41972;Recibido;695,75
10029;41972;Recibido;20176,75
10030;41972;Recibido;1113,2
10031;40395;Recibido;1461,07
10032;40395;Recibido;1182,77
10033;40395;Recibido;1182,77
10034;40395;Recibido;904,47
10035;40395;Recibido;904,47
10036;14330;Recibido;1182,77
10037;14330;Recibido;904,47
10038;14330;Recibido;20107,18
10039;40395;Recibido;1452,3
10040;41972;Recibido;1321,92
10041;41972;Recibido;3448,5
10042;41972;Recibido;904,47
10043;40395;Recibido;1043,62
